Id,PostTypeId,Title,Body,Score,ViewCount,Tags
"4848607","1","Git 'fatal: No such ref: HEAD'","<p>A weird thing happend to my git repository. When I try to commit something in tortoisegit window I receive all files from project. I cannot revert them, when I pull from server I receive 'fatal: No such ref: HEAD' and 'fatal: Cannot lock the ref 'HEAD'.'. All my local branches are missing. Is there any way to resolve the problem?</p>

<p>This is not first commit or something. This thing happend suddenly.</p>

<p>EDIT:</p>

<p>git branch -a says: Failed to resolve HEAD as a valid ref</p>

<p>git status prints all project files marked as new file.</p>

<p>I changed repository folder name for a while, and when I changed it back things were not correct.</p>
","42","35246","<git><tortoisegit>"
"180052","1","Checkout subdirectories in Git?","<p>Is it possible to check out subdirectories of a repository in Git?</p>

<p>Imagine I am setting up a new WordPress installation. I will create two new directories for my plugin and theme customization:</p>

<ul>
<li><code>wordpress/wp-content/plugins/myplugins/</code> </li>
<li><code>wordpress/wp-content/themes/mytheme/</code></li>
</ul>

<p>I want to maintain these directories via Git. In Subversion, I would accomplish this by having <code>trunk/myplugins/</code> and <code>trunk/mytheme/</code> directories and checking out subdirectories. Does Git have a way to accomplish the same task using a single repository?</p>

<p>I could just be missing the boat on some Git paradigm, as a long time SVN user with little exposure to Git.</p>

<p><strong>Edit:</strong> <a href=""http://stackoverflow.com/questions/466303/git-branches-with-completely-different-content"">Multiple branches</a> storing different content is an interesting way to handle this.</p>
","117","72526","<git>"
"180272","1","How to preview git-pull without doing fetch?","<p>Is it even possible?</p>

<p>Basically, there's a remote repository from which I pull using just:</p>

<pre><code>git pull
</code></pre>

<p>Now, I'd like to preview what this pull would change (a diff) without touching anything on my side. The reason is that thing I'm pulling might not be ""good"" and I want someone else to fix it before making my repository ""dirty"".</p>
","106","53490","<git><version-control>"
"9616362","1","Rails which files to ignore for GIT","<p>I created a GIT repo, locally. I now see a bunch of files i rather ignore for GIT check-in.  This brings me to the question: is there any default .gitignore for Rails?  Any best practices?</p>

<p>I think of <em>tmp</em> and <em>log</em> for sure. But are there any other files or folders i should consider?</p>
","34","13398","<ruby-on-rails><git>"
"14491727","1","'git add --patch' to include new files?","<p>When I run <code>git add -p</code>, is there a way for git to select newly made files as hunks to select??</p>

<p>So if I make a new file called <code>foo.java</code>, then run git add -p, git will not let me choose that file's content to be added into the index.</p>
","32","3579","<git><git-add>"
"7231608","1","How to ignore files which are in repository?","<p>I have a file (config.php), that is already commited to Git repository, but I want to ignore locally, i.e. I want that file to remain in repository, but force Git to ignore any changes to it.</p>

<p>I put the file into .gitignore, but it is still marked as changed and Git still is attempting to commit changes to it, every time I commit something. Any idea, what am I missing or doing wrong?</p>
","43","11833","<git><gitignore><git-rm>"
"4858047","1","The following untracked working tree files would be overwritten by checkout","<p>So I added a folder to my .gitignore file.</p>

<p>Once I do a <code>git status</code> it tells me</p>

<pre><code># On branch latest
nothing to commit (working directory clean)
</code></pre>

<p>However, when I try to change branches I get the following:</p>

<pre><code>My-MacBook-Pro:webapp marcamillion$ git checkout develop
error: The following untracked working tree files would be overwritten by checkout:
    public/system/images/9/thumb/red-stripe.jpg
    public/system/images/9/original/red-stripe.jpg
    public/system/images/8/thumb/red-stripe-red.jpg
    public/system/images/8/original/red-stripe-red.jpg
    public/system/images/8/original/00-louis_c.k.-chewed_up-cover-2008.jpg
    public/system/images/7/thumb/red-stripe-dark.jpg
    public/system/images/7/original/red-stripe-dark.jpg
    public/system/images/7/original/DSC07833.JPG
    public/system/images/6/thumb/red-stripe-bw.jpg
    public/system/images/6/original/website-logo.png
    public/system/images/6/original/red-stripe-bw.jpg
    public/system/images/5/thumb/Guy_Waving_Jamaican_Flag.jpg
    public/system/images/5/original/logocompv-colored-squares-100px.png
    public/system/images/5/original/Guy_Waving_Jamaican_Flag.jpg
    public/system/images/4/thumb/DSC_0001.JPG
    public/system/images/4/original/logo.png
    public/system/images/4/original/DSC_0001.JPG
    public/system/images/4/original/2-up.jpg
    public/system/images/3/thumb/logo2.gif
    public/system/images/3/original/logo2.gif
    public/system/images/3/original/Guy_Waving_Jamaican_Flag.jpg
    public/system/images/3/original/11002000962.jpg
    public/system/images/2/thumb/Profile Pic.jpg
    public/system/images/2/original/Profile Pic.jpg
    public/system/images/2/original/02 Login Screen.jpg
    public/system/images/1/original/Argentina-2010-World-Cup.jpg
Please move or remove them before you can switch branches.
Aborting
</code></pre>

<p>This is what my .gitignore file looks like:</p>

<pre><code>.bundle
.DS_Store
db/*.sqlite3
log/*.log
tmp/**/*
public/system/images/*
public/system/avatars/*
</code></pre>

<p>How do I get this working so I can switch branches without deleting those files?</p>

<p>If I make a change, will it affect those files? In other words, if I came back to this branch afterwards would everything be perfect as up to my latest commit?</p>

<p>I don't want to lose those files, I just don't want them tracked.</p>
","365","378331","<git><git-merge>"
"14500240","1","How can I generate a diff for a single file between two branches in github","<p>I need to generate a diff for a single file that will show the differences between two versions, which are actually tags in github. I then want to send this diff to someone via email so a github URL for the diff would be ideal. The github compare view will allow me to do this for all changed files, but that's no good as there are thousands of files in my repo.</p>

<p>I can do this in the command line as follows, but this doesn't help as I need to send the diff to someone via email:</p>

<pre><code>git diff tag1 tag2 -- path/to/file
</code></pre>

<p>I found the command line version discussed here:
<a href=""http://stackoverflow.com/questions/10611112/how-can-i-see-the-differences-in-a-designated-file-between-a-local-branch-and-a"">how can I see the differences in a designated file between a local branch and a remote branch?</a></p>
","49","25725","<git><github>"
"231211","1","Using Git how do I find changes between local and remote","<p>Here are two different questions but I think they are related.</p>

<ol>
<li><p>When using Git, how do I find which changes I have committed locally, but haven't yet pushed to a remote branch? I'm looking for something similar to the Mercurial command <code>hg outgoing</code>.</p></li>
<li><p>When using Git, how do I find what changes a remote branch has prior to doing a pull? I'm looking for something similar to the Mercurial command <code>hg incoming</code>.</p></li>
</ol>

<p>For the second: is there a way to see what is available and then cherry-pick the changes I want to pull?</p>
","131","79734","<git><mercurial>"
"2445003","1","How do I enable msysgit colored output when using console2","<p>I'm having a hard time enabling git colored output on windows when using console2. </p>

<p>To trick git I've already SET TERM = 'cygwin'. This enabled the colors from a standard cmd.exe prompt but not in console2. I've verified that console2 can see the env var as well. </p>

<p>Anyone know how to get this working?</p>
","35","9039","<git><msysgit><console2><output-formatting>"
"7275508","1","Is there a way to squash a number of commits non-interactively?","<p>I'm trying to squash a range of commits - HEAD to HEAD~3.  Is there a quick way to do this, or do I need to use rebase --interactive?</p>
","56","11784","<git><interactive><rebase><squash>"
"14046122","1","github locks up mac terminal when using pull command","<p>I'm in the process of learning github on mac (command-line) and whenever I do <code>git pull origin master</code> i get this</p>

<pre><code># Please enter a commit message to explain why this merge is necessary,
# especially if it merges an updated upstream into a topic branch.
#
# Lines starting with '#' will be ignored, and an empty message aborts
# the commit.
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
~                                                                               
"".git/MERGE_MSG"" 7L, 293C
</code></pre>

<p>the terminal seems to lock up  and doesn't allow me to enter anything immediately, then when it finally does allow me to enter text it seems like it doesn't recognize git commands.</p>

<p>Is this a bug in git or am i missing something?  </p>
","50","19520","<git><github><terminal>"
"11816424","1","Understanding the basics of Git and GitHub","<p>I don't fully understand the purpose of using Git or Github; I know it helps to keep track of your changes and it's helpful for people collaborating with other people, but I don't collaborate with anybody so I don't know if this would be helpful for me.</p>

<p>I usually work as a web designer/developer but I never have to collaborate. I know in Git you have create, push, commit, create branches etc for every repository but...</p>

<ol>
<li><p>What is the difference between Git and GitHub?</p></li>
<li><p>Is git saving every repository locally (in the user's machine) and in GitHub?</p></li>
<li><p>Can you use Git without GitHub? If yes, what would be the benefit for using GitHub?</p></li>
<li><p>How does Git compare to a backup system such as Time Machine?</p></li>
<li><p>Is this a manual process, in other words if you don't commit you wont have a new version of the changes made?</p></li>
<li><p>If are not collaborating and you are already using a backup system why would you use Git?</p></li>
</ol>
","145","65218","<git><github>"
"14330050","1","How to get Git 1.8 in Cygwin?","<p>According to <a href=""http://cygwin.com/packages/git/"">http://cygwin.com/packages/git/</a> the latest available Cygwin package is 1.7.9-1.</p>

<p>I would like to update git to at least 1.8.0.</p>

<p>Can I do this?</p>
","39","13552","<git><cygwin>"
"11950037","1","View git history for folder","<p>How can I view git log history for all files within a folder ?</p>

<p>I have found several posts on how to show log for a specific file, but haven't found for a specific folder.</p>
","39","15166","<git>"
"11928561","1","Where is git.exe located?","<p>I have PyCharm and I am looking around trying to find git.exe to set it up with my repo. </p>

<p>What is the PATH to git.exe?</p>
","159","139924","<git><github-for-windows>"
"14337945","1","How do I resolve cherry-pick conflicts using their changes?","<p>My <code>git cherry-pick FOO</code> produced a conflict.</p>

<p>I could go through the conflicting files and delete the lines between <code>&lt;&lt;&lt;&lt;&lt;&lt;&lt;</code> and <code>=======</code>, and the conflict markers themselves, but I'm hoping there's an easier way.</p>

<p>I think the <code>svn</code> equivalent was choosing <code>theirs-conflict</code> to resolve.</p>

<p>How do I do this in <code>git</code>?</p>

<p>I don't want <code>git checkout --theirs &lt;file&gt;</code> as that seems to produce the same result as <code>git checkout foo &lt;file&gt;</code> instead of just getting <code>git diff FOO~..FOO &lt;file&gt;</code> applied.</p>
","36","20609","<git>"
"11935043","1","git error when trying to push to remote branch","<p>I've cloned repository A's master branch from git and created my own branch called Li.
I've made some changes a while ago and pushed the contents of local Li to remote Li.</p>

<p>Now I've pulled some updates from remote master to my local master branch and from the local master branch to the local Li, and I'm trying to push the updates from local Li to remote Li.
However, when I try to run:</p>

<pre><code>git checkout Li
git push origin Li
</code></pre>

<p>I get the following error:</p>

<pre><code>error: failed to push some refs to 'git@github.com:anodejs/system.git'
hint: Updates were rejected because the tip of your current branch is behind
hint: its remote counterpart. Merge the remote changes (e.g. 'git pull')
hint: before pushing again.
hint: See the 'Note about fast-forwards' in 'git push --help' for details.
</code></pre>

<p>Note that my local master branch is updated (I invoked git pull origin master) and merged into the local Li branch. I did, however, add local Li a new file, so local Li is not identical to local master (but this shouldn't matter, right?)</p>

<p>Thanks,
Li</p>
","33","47091","<git><push>"
"14342553","1","git push heroku master permission denied","<p>I am following the ruby.railstutorial. I run the command ""git push heroku master"" and it spits out this error.</p>

<pre><code>Permission denied (publickey).
fatal: Could not read from remote repository.
Please make sure you have the correct access rights
and the repository exists.
</code></pre>

<p>I am inside my rails app ""/Users/lexi87/rails_projects/first_app"". Any solutions?</p>
","48","26218","<ruby-on-rails><git><heroku>"
"21609781","1","Why call git branch --unset-upstream to fixup?","<p>I'm more of a novice when it comes to advanced operations in GIT. I maintain my <a href=""http://jatinganhotra.com"">blog</a> using the blogging framework <a href=""http://octopress.org/"">Octopress</a>. Though Octopress is not under any development since 2011, it serves my purpose well and so I haven't thought of changing anything so far.</p>

<p>FYI, My blog is hosted on Github Pages.<br>
Today, while working on a new post and called <code>git status</code>, it showed the following message:</p>

<pre><code>On branch source
Your branch is based on 'origin/master', but the upstream is gone.
  (use ""git branch --unset-upstream"" to fixup)
</code></pre>

<p>The same message repeated for all the subsequent commands such as <code>git add .</code>, <code>git commit -m 'message'</code> and <code>git push origin source</code>.  </p>

<ul>
<li>What does the message mean?  </li>
<li>Is something broken?  </li>
<li>If yes, what?  </li>
<li>Do I need to fix it? </li>
</ul>

<p>If possible, please point me to a pdf/web article where I can read up on this and understand it for future?</p>

<p>More details:</p>

<pre><code>bash-3.2$ git branch -a
* source
  remotes/octopress/2.1
  remotes/octopress/HEAD -&gt; octopress/master
  remotes/octopress/gh-pages
  remotes/octopress/linklog
  remotes/octopress/master
  remotes/octopress/refactor_with_tests
  remotes/octopress/rubygemcli
  remotes/octopress/site
  remotes/origin/source
</code></pre>

<p>Please let me know if more information is needed. Thanks.</p>
","46","30020","<git><git-branch><github-pages>"
"14348874","1","Git repository URL - SSH syntax without absolute path","<p>I'm running a git repository server accessible via SSH, on a custom port (let's say 12345). I have found that in this case the repository URLs need to be specified using SSH syntax:</p>

<pre><code>git clone ssh://login@server.com:12345/absolute/path/to/repository
</code></pre>

<p>I'd like to setup it in such a way that it would be possible for users to clone repositories without specifying the <strong>absolute</strong> path.</p>

<pre><code>git clone ssh://login@server.com:12345/repository.git
</code></pre>

<p>I have researched the topic and found the following options:</p>

<ol>
<li>Remove the custom port from the URL and make the users add it to their <code>~/.ssh/config</code> file (a last-resort workaround rather than a solution).</li>
<li>Drop SSH and use <code>git-daemon</code> and specify its <code>--base-path</code> parameter (still a workaround...)</li>
<li>Use an utility like <code>gitosis</code> or <code>gitolite</code> - but wouldn't it be an overkill to use it for this purpose only? Gitosis is discontinued, gitolite is a quite huge piece of software...</li>
</ol>

<p>All I want is a ""prettier"" SSH URL with custom port (so I can distribute the whole <code>git clone</code> command and require nothing more from the remote user). Which one of the above solutions would be the most viable in my case?</p>
","34","23464","<git><ssh>"
"14167335","1","find commit by hash sha in git","<p>I need to find a commit in Git by given hash SHA. For example, if I have ""a2c25061"" hash, and I need to get the author and the committer of this commit. </p>

<p>What is the command to get that?</p>
","94","47067","<git>"
"14168677","1","Merge development branch with master","<p>I have two branches namely <code>master</code> and <code>development</code> in a GitHub Repository. I am doing all my  development in development branch as shown.</p>

<pre><code>git branch development
git add *
git commit -m ""My initial commit message""
git push -u origin development
</code></pre>

<p>Now I want to merge all the changes on the <code>development</code> branch into the <code>master</code>. My current approach is:</p>

<pre><code>git checkout master 
git merge development
git push -u origin master 
</code></pre>

<p>Please let me know if the procedure I am following is correct.</p>
","78","48406","<git>"
"16736856","1","What should be in my .gitignore for an Android Studio project?","<p>What files should be in my .gitignore for an Android Studio project?</p>

<p>I have seen several examples that all include .iml but IntelliJ docs say that .iml must be included in your source control.</p>
","684","224724","<git><android-studio><gitignore>"
"11947587","1","Is there a naming convention for git repositories?","<p>For example, I have a RESTful service called Purchase Service. Should I name my repository</p>

<ol>
<li><code>purchaserestservice</code></li>
<li><code>purchase-rest-service</code></li>
<li><code>purchase_rest_service</code></li>
<li>or something else?</li>
</ol>

<p>What's the convention? How about in github? Should public repos follow some standard?</p>
","81","29018","<git><github><naming-conventions>"
"4319486","1","git - merge conflict when local is deleted but file exists in remote","<p>I am very new to git and wondered how I should go about a merge where in the local repo I have deleted several files on the master branch but these files exist within the remote master branch.</p>

<p>After doing git-merge it shows the conflicts that have occured.</p>

<p>Using git gui it shows that the local file is deleted, while the remote branch file has contents.</p>

<p>How do you stop these files from being conflicted?
Is there a simple way using git gui?</p>

<p>Many thanks</p>
","64","45267","<git>"
"9537392","1","Git fetch remote branch","<p>My colleague and I are working on the same repository we've branched it into two branches each technically for different projects, but they have similarities so we'll sometimes want to commit back to the *master from the branch.</p>

<p>However, I have the branch, how can my colleague pull that branch specifically. A git clone of the repo does not seem to create the branches locally for him, though I can see them live on unfuddle after a push my end.</p>

<p>Any help would be greatly appreciated.</p>

<p>*Edit, also when I originally made the branch I did -b checkout. Not sure if that makes much difference?</p>

<p>*Edit 2</p>

<pre><code>iMac:test_solar dave$ git branch -r
origin/HEAD -&gt; origin/master
origin/daves_branch
origin/discover
origin/master

git fetch origin discover
git checkout discover
</code></pre>

<p>This is the commands I ran. But definitely no workey. I want to be able to check out that branch and then push and commit back just that branches changes from various collaborators or workstations.</p>
","817","726783","<git><branch><git-branch><git-fetch>"
"871","1","Why is Git better than Subversion?","<p>I've been using <a href=""http://en.wikipedia.org/wiki/Apache_Subversion"" rel=""nofollow"">Subversion</a> for a few years and after using <a href=""http://en.wikipedia.org/wiki/Microsoft_Visual_SourceSafe"" rel=""nofollow"">SourceSafe</a>, I just love Subversion.  Combined with <a href=""http://en.wikipedia.org/wiki/TortoiseSVN"" rel=""nofollow"">TortoiseSVN</a>, I can't really imagine how it could be any better.  </p>

<p>Yet there's a growing number of developers claiming that Subversion has problems and that we should be moving to the new breed of distributed version control systems, such as <a href=""http://git.or.cz/"" rel=""nofollow"" title=""Git Distributed Version Control System"">Git</a>.  </p>

<p>How does Git improve upon Subversion?</p>
","393","551421","<svn><git>"
"11956710","1","git recover deleted file where no commit was made after the delete","<p>I deleted some files.  </p>

<p>I did NOT commit yet.  </p>

<p>I want to reset my workspace to recover the files.  </p>

<p>I did a </p>

<pre><code>  git checkout .
</code></pre>

<p>But the deleted files are still missing.</p>

<p>And <code>git status</code> shows:</p>

<pre><code># On branch master
# Changes to be committed:
#   (use ""git reset HEAD &lt;file&gt;..."" to unstage)
#
#   deleted:    cc.properties
#   deleted:    store/README
#   deleted:    store/cc.properties
#
</code></pre>

<p>Why doesn't git checkout . reset the workspace to HEAD?</p>
","319","174804","<git>"
"2658","1","Getting started with Version Control","<p>I need to implement version control, even for just the developing I do at home.  I have read about how great Subversion is for the past couple years and was about to dedicate myself to learning this on the side until I heard about Git being the up and coming version control system.</p>

<p>Given the situation, should I hold off and see which one comes out on top?  What are their relative advantages?  </p>

<p>One issue I noticed with Git is there are not many full featured GUIs, which is important to many users on my team.</p>

<p>Also, wouldn't mind suggestions on how to get started with one or the other. (tutorials, etc.)</p>
","67","6647","<git><svn><version-control><language-agnostic><dvcs>"
"9539067","1","What exactly does git rebase --skip do?","<p>I just did a <code>git pull --rebase origin master</code> and there was a conflict.</p>

<p>Firstly, this conflict was in a file that I hadnt touched, and was about 10 commits back. Why does this happen?</p>

<p>I then accidently typed <code>git rebase --skip</code>, and it 'skipped that patch'.</p>

<p>Worried that I had skipped a commit, I checked out a new version of the master branch and did a diff between the branch that I did the rebase on, and the new master branch.  The only changes that show up in the diff are the latest commit, and looking at the log, the patch that was 'skipped', shows up in the commit history.</p>

<p>Can anyone explain what is going on here?</p>
","39","17838","<git>"
"5473","1","How can I undo git reset --hard HEAD~1?","<p>Is it possible to undo the changes caused by the following command? If so, how?</p>

<pre><code>git reset --hard HEAD~1
</code></pre>
","663","186492","<git><version-control><git-reset>"
"6009","1","How do you deal with configuration files in source control?","<p>Let's say you have a typical web app and with a file configuration.whatever. Every developer working on the project will have one version for their dev boxes, there will be a dev, prod and stage versions. How do you deal with this in source control? Not check in this file at all, check it with different names or do something fancy altogether?</p>","66","7452","<svn><git><version-control><cvs>"
"14418352","1","Ignore new commits for git submodule","<h1>Background</h1>

<p>Using Git 1.8.1.1 on Linux. The repository looks as follows:</p>

<pre><code>master
  book
</code></pre>

<p>The submodule was created as follows:</p>

<pre><code>$ cd /path/to/master
$ git submodule add https://user@bitbucket.org/user/repo.git book
</code></pre>

<p>The <code>book</code> submodule is clean:</p>

<pre><code>$ cd /path/to/master/book/
$ git status
# On branch master
nothing to commit, working directory clean
</code></pre>

<h1>Problem</h1>

<p>The master, on the other hand, shows there are ""new commits"" for the book submodule:</p>

<pre><code>$ cd /path/to/master/
$ git status
# On branch master
# Changes not staged for commit:
#   (use ""git add &lt;file&gt;..."" to update what will be committed)
#   (use ""git checkout -- &lt;file&gt;..."" to discard changes in working directory)
#
#       modified:   book (new commits)
#
no changes added to commit (use ""git add"" and/or ""git commit -a"")
</code></pre>

<p>I would like git to ignore the submodule directory completely, so that the master is also clean:</p>

<pre><code>$ cd /path/to/master/
$ git status
# On branch master
nothing to commit, working directory clean
</code></pre>

<h1>Failed Attempt #1 - dirty</h1>

<p>Inside the file <code>master/.gitmodules</code> is the following, as per this <a href=""http://stackoverflow.com/a/5542452/59087"">answer</a>:</p>

<pre><code>[submodule ""book""]
        path = book
        url = https://user@bitbucket.org/user/repo.git
        ignore = dirty
</code></pre>

<h1>Failed Attempt #2 - untracked</h1>

<p>I have also tried changing <code>master/.gitmodules</code> to the following, as per this <a href=""http://stackoverflow.com/a/5127213/59087"">answer</a>:</p>

<pre><code>[submodule ""book""]
        path = book
        url = https://user@bitbucket.org/user/repo.git
        ignore = untracked
</code></pre>

<h1>Failed Attempt #3 - showUntrackedFiles</h1>

<p>I have also tried editing <code>master/.git/config</code> to the following, as per this <a href=""http://stackoverflow.com/a/4345788/59087"">answer</a>:</p>

<pre><code>[status]
   showUntrackedFiles = no
</code></pre>

<h1>Failed Attempt #4 - ignore</h1>

<p>I tried adding the book directory to the master ignore file:</p>

<pre><code>$ cd /path/to/master/
$ echo book &gt; .gitignore
</code></pre>

<h1>Failed Attempt #5 - clone</h1>

<p>I tried adding the book directory to the master as follows:</p>

<pre><code>$ cd /path/to/master/
$ rm -rf book
$ git clone https://user@bitbucket.org/user/repo.git book
</code></pre>

<h1>Question</h1>

<p>How do I keep the <code>book</code> submodule as a repository directory under the <code>master</code> repository yet have git ignore the <code>book</code> submodule? That is, I don't want to see the following:</p>

<pre><code>#
#       modified:   book (new commits)
#
</code></pre>

<p>How do I suppress that message when executing <code>git status</code> in the master repository?</p>

<p>I've also read an article about <a href=""http://codingkilledthecat.wordpress.com/2012/04/28/why-your-company-shouldnt-use-git-submodules/"">git submodule pitfalls</a> and am wondering: is this an inappropriate submodule usage?</p>
","35","16487","<git><status><git-submodules><ignore>"
"9672319","1",".gitignore file, where should I put it in my xcode project?","<p>I want git to ignore my <code>UserInterfaceState.xcuserstate</code> file in my XCode4 project, but where should I put the <code>.gitignore</code> file?, is it inside the <code>.git</code> folder? or out? The <code>.git</code> is in same folder with the <code>ProjectName.xcodeproj</code> file</p>
","96","42231","<xcode><git><gitignore>"
"2476718","1","How to I add something to the .gitignore so that the match is not recursive?","<p>How to I add something to the <code>.gitignore</code> so that the match is not recursive?</p>

<p>For example, I wish to ignore the directory <code>foo</code> and the file <code>bar.txt</code> in the current directory, but not any that exist in subdirectories.</p>

<p>I have tried this for my <code>.gitignore</code> file:</p>

<pre><code>foo/
bar.txt
</code></pre>

<p>But unfortunately git applies this recursively, so that <code>otherdir/bar.txt</code> and <code>otherdir/foo/</code> also get ignored, which is not what I want.</p>

<p>(Is there a command in git that shows me all ignored files, and reference the <code>.gitignore</code> file that is responsible for the file being ignored?  This would be useful for debugging.)</p>
","44","12512","<git><ignore><gitignore>"
